ISO639-3	ISO15924-Main	Wiki-aux	SIL-aux	Lrec2800-aux	SIL2-aux
aaa	Latn				
aab	Latn				
aac	Latn				
aad	Latn				
aae	Latn, Grek				
aaf	Mlym, Arab			Latn	
aag	Latn				
aah	Latn				
aai	Latn				
aak	Latn				
aal	Latn				
aan	Latn				
aao	Arab				
aap	Latn				
aaq	Latn				
aar	Ethi, Latn		Arab		
aas	Latn				
aat	Grek, Latn				
aau	Latn				
aaw	Latn				
aax	Latn				
aaz	Latn				
aba	Latn				
abb	Latn				
abc	Latn				
abd	Latn				
abe	Latn				
abf	Latn	Zxxx			
abg	Latn				
abh	Arab				
abi	Latn				
abj					
abk	Cyrl, Latn, Geor	Arab			
abl	Rjng, Latn				
abm	Latn				
abn	Latn				
abo	Latn				
abp	Latn				
abq	Cyrl, Latn				
abr	Latn				
abs	Latn				
abt	Latn				
abu	Latn				
abv	Arab	Latn			
abw	Latn				
abx	Latn				
aby	Latn				
abz	Latn				
aca	Latn				
acb	Latn				
acd	Latn				
ace	Arab, Latn				
acf	Latn				
ach	Latn				
aci					
ack					
acl					
acm	Arab				
acn	Latn				
acp	Latn				
acq	Arab				
acr	Latn				
acs	Latn				
act	Latn				
acu	Latn				
acv	Latn				
acw	Arab				
acx	Arab				
acy	Arab, Latn, Grek				
acz	Latn				
ada	Latn				
adb	Latn				
add	Latn				
ade	Latn				
adf	Arab				
adg	Latn				
adh	Latn				
adi	Latn		Tibt		
adj	Latn				
adl	Latn				
adn	Latn				
ado	Latn				
adp					
adq	Latn				
adr	Latn				
ads	Latn, Zxxx				
adt	Latn				
adu	Latn				
adw	Latn				
adx	Tibt				
ady	Arab, Cyrl, Latn				
adz	Latn				
aea	Latn				
aeb	Arab, Latn				Hebr
aec	Arab				
aed	Zxxx				
aee	Arab				
aek	Latn				
ael	Latn				
aem	Latn				
aen	Zxxx				
aeq	Arab				
aer	Latn				
aes					
aeu	Latn				
aew	Latn				
aey	Latn				
aez	Latn				
afb	Arab				
afd	Latn				
afe	Latn				
afg	Zxxx				
afh	Latn				
afi	Latn				
afk	Latn				
afn	Latn				
afo	Latn				
afp	Latn				
afr	Arab, Latn, Brai				
afs	Latn				
aft					
afu	Latn				
afz	Latn				
aga	Latn				
agb	Latn				
agc	Latn				
agd	Latn				
age	Latn				
agf	Latn				
agg	Latn				
agh	Latn				
agi	Deva				
agj	Arab, Ethi				
agk	Latn				
agl	Latn				
agm	Latn				
agn	Latn				
ago	Latn				
agq	Latn				
agr	Latn				
ags	Latn				
agt	Latn				
agu	Latn				
agv	Latn				
agw	Latn				
agx	Cyrl				
agy	Latn				
agz	Latn				
aha	Latn				
ahb	Latn				
ahg	Ethi				
ahh	Latn				
ahi	Latn				
ahk	Latn		Mymr, Thai		
ahl	Latn				
ahm	Latn				
ahn	Latn				
aho	Ahom				
ahp	Latn				
ahr	Deva				
ahs	Latn				
aht	Latn				
aia	Latn				
aib	Arab				
aic	Latn				
aid	Latn				
aie	Latn				
aif	Latn				
aig	Latn				
aih					
aii	Syrn, Syrc		Cyrl		Elym
aij	Hebr				
aik	Latn				
ail	Latn				
aim	Latn	Mtei			
ain	Kana, Latn				
aio	Mymr				
aip	Latn				
aiq	Arab				
air	Latn				
ais					
ait	Latn				
aiw	Ethi, Latn		Arab		
aix	Latn				
aiy	Latn				
aja	Latn				
ajg	Latn				
aji	Latn				
ajn	Latn				
ajp	Arab				
ajs	Zxxx				
ajt	Arab, Hebr				
aju	Arab				
ajw	Latn				
ajz	Latn			Beng	
aka	Latn		Arab		
akb	Latn, Batk				
akc	Latn				
akd	Latn				
ake	Latn				
akf	Latn				
akg	Latn				
akh	Latn				
aki	Latn				
akj					
akk	Xsux				
akl	Latn	Tglg			
akm					
ako	Latn				
akp	Latn				
akq	Latn				
akr	Latn				
aks	Latn	Brai			
akt	Latn				
aku	Latn				
akv	Cyrl				
akw	Latn				
akx					
aky					
akz	Latn				
ala	Latn				
alc	Latn				
ald	Latn				
ale	Cyrl, Latn, Cyrs				
alf	Latn				
alh	Latn				
ali	Latn				
alj	Latn				
alk	Laoo	Khom			
all	Mlym				
alm	Latn				
aln	Latn, Brai				
alo	Latn				
alp	Latn				
alq	Latn				
alr	Cyrl, Latn				
als	Latn				
alt	Cyrl, Cyrs		Mong		
alu	Latn				
alw	Ethi				
alx	Latn				
aly	Latn				
alz	Latn				
ama	Latn				
amb	Latn				
amc	Latn				
