ISO639-3,Writing System Text,Link Information
cbk,['Latin (Spanish alphabet)'],"[{'Text': 'Latin', 'Href': '/wiki/Latin_script'}, {'Text': 'Spanish alphabet', 'Href': '/wiki/Spanish_alphabet'}]"
soi,['Devanagari'],"[{'Text': 'Devanagari', 'Href': '/wiki/Devanagari'}]"
set,['Latin'],"[{'Text': 'Latin', 'Href': '/wiki/Latin_script'}]"
kmj,['Devanagari'],"[{'Text': 'Devanagari', 'Href': '/wiki/Devanagari'}]"
bos,"[""Latin (Gaj's alphabet)"", ""Cyrillic (Vuk's alphabet)[Note 1]"", 'Yugoslav Braille', 'Formerly:', 'Arabic (Arebica)', 'Bosnian Cyrillic (Bosančica)']","[{'Text': 'Latin', 'Href': '/wiki/Latin_script'}, {'Text': ""Gaj's alphabet"", 'Href': '/wiki/Gaj%27s_Latin_alphabet'}, {'Text': 'Cyrillic', 'Href': '/wiki/Cyrillic_script'}, {'Text': ""Vuk's alphabet"", 'Href': '/wiki/Serbian_Cyrillic_alphabet'}, {'Text': '[Note 1]', 'Href': '#cite_note-Cyrillic-note-3'}, {'Text': 'Yugoslav Braille', 'Href': '/wiki/Yugoslav_Braille'}, {'Text': 'Arabic', 'Href': '/wiki/Arabic_script'}, {'Text': 'Arebica', 'Href': '/wiki/Arebica'}, {'Text': 'Bosnian Cyrillic', 'Href': '/wiki/Bosnian_Cyrillic'}]"
xmv,"['Latin script (Malagasy alphabet)', 'Sorabe alphabet (Historically)', 'Malagasy Braille']","[{'Text': 'Latin script', 'Href': '/wiki/Latin_script'}, {'Text': 'Sorabe alphabet', 'Href': '/wiki/Sorabe'}, {'Text': 'Malagasy Braille', 'Href': '/wiki/Malagasy_Braille'}]"
mmn,['Latin'],"[{'Text': 'Latin', 'Href': '/wiki/Latin_script'}]"
mic,"[""Latin scriptGomgwejui'gasit (historically)""]","[{'Text': 'Latin script', 'Href': '/wiki/Latin_script'}, {'Text': ""Gomgwejui'gasit"", 'Href': '/wiki/Mi%EA%9E%8Ckmaw_hieroglyphic_writing'}]"
npb,['Tibetan script'],"[{'Text': 'Tibetan script', 'Href': '/wiki/Tibetan_script'}]"
haa,['Latin (Dené alphabet)'],[]
aar,['Latin'],"[{'Text': 'Latin', 'Href': '/wiki/Latin_script'}]"
bfq,"['Tamil', 'Kannada', 'Malayalam']","[{'Text': 'Tamil', 'Href': '/wiki/Tamil_script'}, {'Text': 'Kannada', 'Href': '/wiki/Kannada_script'}, {'Text': 'Malayalam', 'Href': '/wiki/Malayalam_script'}]"
kfa,"['Kannada Script', 'Kodava Script', 'Malayalam Script']","[{'Text': 'Kannada Script', 'Href': '/wiki/Kannada_Script'}, {'Text': 'Kodava Script', 'Href': '/wiki/Kodava_Script'}, {'Text': 'Malayalam Script', 'Href': '/wiki/Malayalam_Script'}]"
lss,"['Arabic script (Naskh, Nastaliq)[1]']","[{'Text': 'Arabic script', 'Href': '/wiki/Arabic_script'}, {'Text': 'Naskh', 'Href': '/wiki/Naskh_(script)'}, {'Text': 'Nastaliq', 'Href': '/wiki/Nastaliq'}, {'Text': '[1]', 'Href': '#cite_note-1'}]"
tat,"['Tatar alphabet (Cyrillic, Latin, formerly Arabic)']","[{'Text': 'Tatar alphabet', 'Href': '/wiki/Tatar_alphabet'}, {'Text': 'Cyrillic', 'Href': '/wiki/Cyrillic_script'}, {'Text': 'Latin', 'Href': '/wiki/Latin_script'}, {'Text': 'Arabic', 'Href': '/wiki/Arabic_script'}]"
tet,['Latin (Tetum alphabet)'],"[{'Text': 'Latin', 'Href': '/wiki/Latin_script'}, {'Text': 'Tetum alphabet', 'Href': '/wiki/Tetum_alphabet'}]"
osp,"['Latin', 'Aljamiado (marginal)']","[{'Text': 'Latin', 'Href': '/wiki/Latin_alphabet'}, {'Text': 'Aljamiado', 'Href': '/wiki/Aljamiado'}]"
pil,['Latin'],"[{'Text': 'Latin', 'Href': '/wiki/Latin_script'}]"
rhg,"['Hanifi Rohingya', 'Perso-Arabic (Rohingya Arabic Alphabet)', 'Latin (Rohingyalish)', 'Burmese', 'Bengali–Assamese (rare)']","[{'Text': 'Hanifi Rohingya', 'Href': '/wiki/Hanifi_Rohingya_script'}, {'Text': 'Perso-Arabic', 'Href': '/wiki/Arabic_script'}, {'Text': 'Rohingya Arabic Alphabet', 'Href': '/wiki/Rohingya_Arabic_Alphabet'}, {'Text': 'Latin', 'Href': '/wiki/Latin_script'}, {'Text': 'Burmese', 'Href': '/wiki/Burmese_alphabet'}, {'Text': 'Bengali–Assamese', 'Href': '/wiki/Bengali%E2%80%93Assamese_script'}]"
jdt,"['Latin', 'Cyrillic', 'Hebrew']","[{'Text': 'Latin', 'Href': '/wiki/Latin_script'}, {'Text': 'Cyrillic', 'Href': '/wiki/Cyrillic_script'}, {'Text': 'Hebrew', 'Href': '/wiki/Hebrew_alphabet'}]"
mvv,['Latin'],"[{'Text': 'Latin', 'Href': '/wiki/Latin_script'}]"
shi,"['Arabic', 'Latin', 'Tifinagh']","[{'Text': 'Arabic', 'Href': '/wiki/Berber_Arabic_alphabet'}, {'Text': 'Latin', 'Href': '/wiki/Berber_Latin_alphabet'}, {'Text': 'Tifinagh', 'Href': '/wiki/Tifinagh'}]"
nst,"['Latin alphabet', 'Tangsa alphabet']",[]
oaa,['Cyrillic'],"[{'Text': 'Cyrillic', 'Href': '/wiki/Cyrillic_script'}]"
kpz,['Latin script'],"[{'Text': 'Latin script', 'Href': '/wiki/Latin_script'}]"
taa,['Latin (Northern Athabaskan alphabet)'],[]
xlp,['Lugano alphabet (a variant of Old Italic)'],"[{'Text': 'Lugano alphabet', 'Href': '/wiki/Lugano_alphabet'}, {'Text': 'Old Italic', 'Href': '/wiki/Old_Italic_script'}]"
nsv,['Yi logograms'],"[{'Text': 'Yi logograms', 'Href': '/wiki/Yi_logograms'}]"
som,"['Somali Latin alphabet (Latin script; official)', ""Wadaad's writing (Arabic script)"", 'Osmanya alphabet', 'Borama alphabet', 'Kaddare alphabet']","[{'Text': 'Somali Latin alphabet', 'Href': '/wiki/Somali_Latin_alphabet'}, {'Text': 'Latin script', 'Href': '/wiki/Latin_script'}, {'Text': ""Wadaad's writing"", 'Href': '/wiki/Wadaad%27s_writing'}, {'Text': 'Arabic script', 'Href': '/wiki/Arabic_script'}, {'Text': 'Osmanya alphabet', 'Href': '/wiki/Osmanya_alphabet'}, {'Text': 'Borama alphabet', 'Href': '/wiki/Borama_alphabet'}, {'Text': 'Kaddare alphabet', 'Href': '/wiki/Kaddare_alphabet'}]"
bak,['Cyrillic (Bashkir alphabet)'],"[{'Text': 'Cyrillic', 'Href': '/wiki/Cyrillic_script'}, {'Text': 'Bashkir alphabet', 'Href': '/wiki/Bashkir_alphabet'}]"
tzl,['Latin (Talossan alphabet)'],"[{'Text': 'Latin', 'Href': '/wiki/Latin_script'}]"
adx,['Tibetan script'],"[{'Text': 'Tibetan script', 'Href': '/wiki/Tibetan_script'}]"
ola,['Tibetan script'],"[{'Text': 'Tibetan script', 'Href': '/wiki/Tibetan_script'}]"
abv,"['Arabic alphabet', 'Arabic chat alphabet']","[{'Text': 'Arabic alphabet', 'Href': '/wiki/Arabic_alphabet'}, {'Text': 'Arabic chat alphabet', 'Href': '/wiki/Arabic_chat_alphabet'}]"
